Date,Open,High,Low,Close,AdjClose,Volume
2025-01-02,240.0,242.0,231.0,235.85000610351562,228.7134246826172,200262
2025-01-03,235.0500030517578,235.35000610351562,222.0500030517578,224.35000610351562,217.5614013671875,479195
2025-01-06,225.8000030517578,236.89999389648438,224.8000030517578,229.85000610351562,222.89498901367188,371107
2025-01-07,229.85000610351562,234.85000610351562,228.3000030517578,231.85000610351562,224.83445739746094,211358
2025-01-08,230.3000030517578,232.6999969482422,224.25,226.6999969482422,219.8402862548828,307584
2025-01-09,224.0500030517578,230.35000610351562,220.60000610351562,228.75,221.82826232910156,235827
2025-01-10,227.0,233.8000030517578,227.0,227.8000030517578,220.90701293945312,282241
2025-01-13,227.5,229.75,224.60000610351562,227.39999389648438,220.5190887451172,185352
2025-01-14,229.0,230.5500030517578,220.25,220.5,215.72520446777344,292001
2025-01-15,221.3000030517578,226.39999389648438,217.5,223.25,218.41566467285156,297197
2025-01-16,242.5500030517578,245.5,232.8000030517578,237.0500030517578,231.91683959960938,750879
2025-01-17,238.0,243.0500030517578,235.5500030517578,242.6999969482422,237.44448852539062,507922
2025-01-20,243.0,248.25,240.8000030517578,247.5500030517578,242.18946838378906,348064
2025-01-21,246.60000610351562,249.0,245.89999389648438,248.85000610351562,243.46131896972656,249473
2025-01-22,247.85000610351562,250.89999389648438,244.14999389648438,245.0,239.69468688964844,287057
2025-01-23,244.6999969482422,247.5,240.64999389648438,247.1999969482422,241.84703063964844,289533
2025-01-24,269.8999938964844,272.95001220703125,255.9499969482422,258.29998779296875,252.7066650390625,762189
2025-01-27,256.6499938964844,264.0,254.8000030517578,262.54998779296875,256.8646240234375,401836
2025-01-28,262.04998779296875,264.70001220703125,260.29998779296875,260.29998779296875,254.66336059570312,265898
2025-01-29,247.75,249.0500030517578,238.8000030517578,246.25,240.91761779785156,676509
2025-01-30,247.6999969482422,258.04998779296875,245.0500030517578,255.9499969482422,250.40756225585938,416215
2025-01-31,257.6000061035156,258.54998779296875,252.64999389648438,253.4499969482422,247.96170043945312,298147
2025-02-03,243.6999969482422,246.1999969482422,241.9499969482422,243.9499969482422,238.66741943359375,400347
2025-02-04,244.35000610351562,250.10000610351562,240.6999969482422,247.9499969482422,242.58079528808594,269816
2025-02-05,248.75,250.0,243.14999389648438,244.35000610351562,239.0587615966797,224133
2025-02-06,239.6999969482422,253.75,235.10000610351562,251.89999389648438,246.44525146484375,700364
2025-02-07,251.89999389648438,253.85000610351562,241.14999389648438,241.60000610351562,236.36831665039062,446542
2025-02-10,241.3000030517578,244.4499969482422,239.60000610351562,244.1999969482422,238.91200256347656,331983
2025-02-11,248.0,260.5,241.4499969482422,247.39999389648438,242.04270935058594,674134
2025-02-12,250.0,267.8500061035156,249.9499969482422,264.75,259.0169982910156,813405
2025-02-13,273.8999938964844,275.95001220703125,267.3500061035156,275.20001220703125,269.24072265625,600651
2025-02-14,279.54998779296875,283.3500061035156,275.8999938964844,280.0,273.936767578125,646964
2025-02-17,277.45001220703125,281.75,276.79998779296875,280.1000061035156,274.03460693359375,259123
2025-02-18,280.25,280.29998779296875,272.0,274.3500061035156,268.40911865234375,370897
2025-02-19,272.95001220703125,274.0,268.79998779296875,270.25,264.3979187011719,277917
2025-02-20,269.8500061035156,278.54998779296875,269.6499938964844,270.25,264.3979187011719,333214
2025-02-21,270.3500061035156,277.29998779296875,270.1000061035156,277.0,271.0017395019531,360825
2025-02-24,277.04998779296875,279.6000061035156,272.6499938964844,273.8999938964844,267.9688720703125,212295
2025-02-25,271.75,273.75,270.25,271.20001220703125,265.3273620605469,190581
2025-02-26,275.75,281.20001220703125,275.29998779296875,276.04998779296875,270.0722961425781,340111
2025-02-27,271.04998779296875,277.04998779296875,268.8999938964844,273.70001220703125,267.7732238769531,350081
2025-02-28,268.79998779296875,272.29998779296875,266.1499938964844,271.1000061035156,265.2294921875,500711
2025-03-03,269.70001220703125,275.5,268.45001220703125,268.6000061035156,262.78363037109375,207314
2025-03-04,264.45001220703125,265.5,253.0500030517578,255.5,249.96731567382812,389607
2025-03-05,262.8999938964844,264.04998779296875,257.3999938964844,259.04998779296875,253.4404296875,304447
2025-03-06,261.79998779296875,266.1499938964844,256.0,259.1000061035156,253.48936462402344,328995
2025-03-07,255.39999389648438,255.8000030517578,242.8000030517578,249.0,243.60806274414062,494916
2025-03-10,251.4499969482422,257.70001220703125,246.75,255.0,249.47813415527344,447291
2025-03-11,260.04998779296875,260.54998779296875,249.0500030517578,252.0,246.54310607910156,407041
2025-03-12,254.25,254.25,244.3000030517578,249.75,244.34182739257812,357245
2025-03-13,247.8000030517578,252.4499969482422,242.85000610351562,250.35000610351562,244.9288330078125,391631
2025-03-14,228.0,228.5,215.85000610351562,223.5500030517578,218.70916748046875,1416583
2025-03-17,223.64999389648438,223.8000030517578,216.89999389648438,217.39999389648438,212.6923370361328,473181
2025-03-18,217.6999969482422,219.25,214.9499969482422,217.1999969482422,212.49667358398438,447150
2025-03-19,215.9499969482422,217.39999389648438,212.9499969482422,214.4499969482422,209.80621337890625,409523
2025-03-20,214.4499969482422,215.35000610351562,210.39999389648438,210.39999389648438,205.8439178466797,423183
2025-03-21,208.1999969482422,209.9499969482422,202.14999389648438,206.8000030517578,202.32188415527344,708142
2025-03-24,207.0,208.10000610351562,198.89999389648438,202.39999389648438,198.01715087890625,563947
2025-03-25,201.9499969482422,205.1999969482422,200.10000610351562,201.10000610351562,196.7453155517578,451975
2025-03-26,200.5,204.64999389648438,199.52000427246094,202.10000610351562,197.72366333007812,412233
2025-03-27,201.0,204.85000610351562,200.5500030517578,202.25,197.8704071044922,341283
2025-03-28,199.89999389648438,202.5,199.10000610351562,199.24000549316406,194.9255828857422,404979
2025-03-31,196.67999267578125,197.60000610351562,190.3000030517578,190.9199981689453,186.78575134277344,534057
2025-04-01,193.22000122070312,193.9600067138672,190.1199951171875,191.44000244140625,187.29449462890625,400559
2025-04-02,191.0,193.8000030517578,190.63999938964844,192.0,187.8423614501953,328099
2025-04-03,185.89999389648438,188.94000244140625,177.32000732421875,177.5800018310547,173.734619140625,840586
2025-04-04,177.0,180.5800018310547,166.1199951171875,170.86000061035156,167.16014099121094,689265
2025-04-07,156.4199981689453,177.0,149.77999877929688,164.1199951171875,160.5660858154297,887253
2025-04-08,168.47999572753906,170.10000610351562,160.32000732421875,165.9199981689453,162.3271026611328,618693
2025-04-09,157.4199981689453,164.0,155.55999755859375,156.9199981689453,153.52198791503906,535729
